date,open,high,low,close,volume
2024-01-02,100.00,101.02,98.70,100.22,1180000
2024-01-03,100.28,101.51,98.98,100.56,1201158
2024-01-04,100.67,102.10,99.40,101.01,1222071
2024-01-05,101.18,102.78,99.94,101.57,1242495
2024-01-08,101.79,103.54,100.60,102.24,1262192
2024-01-09,102.50,104.35,101.36,102.98,1280934
2024-01-10,103.29,105.21,102.22,103.81,1298506
2024-01-11,104.14,106.08,103.15,104.69,1314705
2024-01-12,105.05,106.96,104.14,105.61,1329346
2024-01-15,106.00,107.82,105.16,106.56,1342264
2024-01-16,106.95,108.67,106.10,107.51,1353314
2024-01-17,107.91,109.47,106.98,108.45,1362374
2024-01-18,108.84,110.24,107.83,109.35,1369348
2024-01-19,109.74,111.08,108.66,110.22,1374165
2024-01-22,110.58,112.03,109.44,111.02,1376779
2024-01-23,111.36,112.90,110.16,111.76,1377173
2024-01-24,112.06,113.67,110.82,112.41,1375358
2024-01-25,112.68,114.32,111.40,112.98,1371370
2024-01-26,113.20,114.85,111.91,113.47,1365273
2024-01-29,113.63,115.26,112.33,113.86,1357158
2024-01-30,113.97,115.53,112.68,114.16,1347139
2024-01-31,114.22,115.69,112.95,114.38,1335355
2024-02-01,114.38,115.74,113.14,114.52,1321966
2024-02-02,114.46,115.69,113.28,114.59,1307151
2024-02-05,114.48,115.57,113.35,114.60,1291109
2024-02-06,114.43,115.38,113.37,114.56,1274051
2024-02-07,114.35,115.42,113.36,114.49,1256204
2024-02-08,114.23,115.47,113.32,114.40,1237801
2024-02-09,114.09,115.48,113.27,114.29,1219085
2024-02-12,113.95,115.48,113.09,114.18,1200302
2024-02-13,113.82,115.45,112.88,114.08,1181697
2024-02-14,113.70,115.40,112.68,114.01,1163516
2024-02-15,113.61,115.35,112.52,113.96,1145996
2024-02-16,113.56,115.30,112.41,113.95,1129370
2024-02-19,113.55,115.25,112.34,113.97,1113856
2024-02-20,113.59,115.21,112.34,114.04,1099661
2024-02-21,113.68,115.20,112.40,114.15,1086975
2024-02-22,113.81,115.21,112.52,114.30,1075969
2024-02-23,114.00,115.34,112.70,114.49,1066794
2024-02-26,114.23,115.71,112.94,114.72,1059577
2024-02-27,114.51,116.11,113.24,114.98,1054422
2024-02-28,114.82,116.51,113.59,115.27,1051409
2024-02-29,115.16,116.90,113.98,115.57,1050588
2024-03-01,115.52,117.27,114.40,115.89,1051984
2024-03-04,115.89,117.62,114.84,116.22,1055596
2024-03-05,116.28,117.93,115.31,116.55,1061393
2024-03-06,116.66,118.20,115.77,116.88,1069319
2024-03-07,117.05,118.44,116.24,117.20,1079291
2024-03-08,117.42,118.63,116.54,117.51,1091200
2024-03-11,117.77,118.80,116.82,117.81,1104915
2024-03-12,118.11,118.95,117.07,118.10,1120281
2024-03-13,118.44,119.34,117.27,118.37,1137124
2024-03-14,118.74,119.79,117.47,118.63,1155250
2024-03-15,119.02,120.19,117.67,118.88,1174451
2024-03-18,119.28,120.56,117.86,119.12,1194505
2024-03-19,119.52,120.88,117.43,118.71,1215179
2024-03-20,119.11,120.50,117.00,118.30,1236233
2024-03-21,118.68,120.08,116.59,117.89,1257422
2024-03-22,118.25,119.61,116.19,117.48,1278501
2024-03-25,117.81,119.10,115.81,117.06,1299222
2024-03-26,117.37,118.56,115.44,116.66,1319347
2024-03-27,116.92,117.98,115.08,116.25,1338641
2024-03-28,116.47,117.39,114.74,115.85,1356881
2024-03-29,116.01,116.84,114.41,115.44,1373857
2024-04-01,115.56,116.53,114.08,115.04,1389375
2024-04-02,115.09,116.20,113.75,114.63,1403258
2024-04-03,114.63,115.85,113.40,114.21,1415349
2024-04-04,114.15,115.47,112.88,113.77,1425514
2024-04-05,113.65,115.03,112.34,113.31,1433644
2024-04-08,113.14,114.54,111.78,112.83,1439651
2024-04-09,112.61,113.99,111.20,112.31,1443477
2024-04-10,112.05,113.38,110.59,111.76,1445090
2024-04-11,111.45,112.71,109.95,111.17,1444484
2024-04-12,110.83,111.97,109.27,110.53,1441682
2024-04-15,110.17,111.17,108.57,109.86,1436733
2024-04-16,109.47,110.33,107.84,109.14,1429712
2024-04-17,108.74,109.63,107.08,108.37,1420722
2024-04-18,107.97,109.01,106.29,107.57,1409888
2024-04-19,107.18,108.34,105.49,106.74,1397359
2024-04-22,106.36,107.63,104.67,105.88,1383303
2024-04-23,105.52,106.87,103.85,105.01,1367909
2024-04-24,104.67,106.06,103.03,104.13,1351381
2024-04-25,103.82,105.22,102.22,103.25,1333938
2024-04-26,102.99,104.36,101.44,102.39,1315811
2024-04-29,102.18,103.48,100.70,101.57,1297237
